[21:49:16][rank0] ============================================================
[21:49:16][rank0]   EchoTrace GPU-Accelerated DDP Training
[21:49:16][rank0]   GPUs            : 4
[21:49:16][rank0]   Total samples   : 199991
[21:49:16][rank0]   Batch/GPU       : 64
[21:49:16][rank0]   Effective batch : 256
[21:49:16][rank0]   Epochs          : 10
[21:49:16][rank0]   Trainable params: 16,018,433 / 24,561,729
[21:49:16][rank0] ============================================================
[22:47:46][rank0] Epoch 02/10 | Batch  780/781 (99.9%) | Loss: 0.0463
[22:47:46][rank0] [epoch 02] avg_loss=0.0640 | time=27.5m | best=0.0640 <- best
[22:47:53][rank0] Saved -> /home/jovyan/work/EchoTrace/checkpoints/echo_epoch_02.pth
[22:48:03][rank0] Epoch 03/10 | Batch    0/781 ( 0.0%) | Loss: 0.0082
[22:48:40][rank0] Epoch 03/10 | Batch   20/781 ( 2.6%) | Loss: 0.0198
[22:49:16][rank0] Epoch 03/10 | Batch   40/781 ( 5.1%) | Loss: 0.0112
[22:49:57][rank0] Epoch 03/10 | Batch   60/781 ( 7.7%) | Loss: 0.0341
[22:50:33][rank0] Epoch 03/10 | Batch   80/781 (10.2%) | Loss: 0.0342
[22:51:14][rank0] Epoch 03/10 | Batch  100/781 (12.8%) | Loss: 0.0327
[22:51:55][rank0] Epoch 03/10 | Batch  120/781 (15.4%) | Loss: 0.0498
[22:52:35][rank0] Epoch 03/10 | Batch  140/781 (17.9%) | Loss: 0.0085
[22:53:18][rank0] Epoch 03/10 | Batch  160/781 (20.5%) | Loss: 0.0045
[22:53:59][rank0] Epoch 03/10 | Batch  180/781 (23.0%) | Loss: 0.0777
[22:54:39][rank0] Epoch 03/10 | Batch  200/781 (25.6%) | Loss: 0.0152
[22:55:23][rank0] Epoch 03/10 | Batch  220/781 (28.2%) | Loss: 0.0257
[22:56:09][rank0] Epoch 03/10 | Batch  240/781 (30.7%) | Loss: 0.0876
[22:56:50][rank0] Epoch 03/10 | Batch  260/781 (33.3%) | Loss: 0.0158
[22:57:27][rank0] Epoch 03/10 | Batch  280/781 (35.9%) | Loss: 0.0098
